1000	31.25000000	500.50000	1000	1
2000	23.43750000	1000.50000	2000	1
3000	31.25000000	1500.50000	3000	1
4000	39.06250000	2000.50000	4000	1
5000	40.62500000	2500.50000	5000	1
6000	49.47916667	3000.50000	6000	1
7000	82.58928571	3500.50000	7000	1
8000	99.60937500	4000.50000	8000	1
9000	114.58333333	4500.50000	9000	1
10000	112.50000000	5000.50000	10000	1
